cycle,model,perturbation,value,metric,sensitivity_index
quasi_steady,dynamic,start_shift_days,-5.0,DM_end,-0.00024897663716456084
quasi_steady,dynamic,start_shift_days,-2.0,DM_end,-9.002482822880741e-05
quasi_steady,dynamic,start_shift_days,0.0,DM_end,0.0
quasi_steady,dynamic,start_shift_days,2.0,DM_end,-7.159984712699974e-05
quasi_steady,dynamic,start_shift_days,5.0,DM_end,-3.294539970918583e-05
quasi_steady,rmnd,start_shift_days,-5.0,DM_end,-0.0002697588117482968
quasi_steady,rmnd,start_shift_days,-2.0,DM_end,-9.672085924886526e-05
quasi_steady,rmnd,start_shift_days,0.0,DM_end,0.0
quasi_steady,rmnd,start_shift_days,2.0,DM_end,-7.767369179320704e-05
quasi_steady,rmnd,start_shift_days,5.0,DM_end,-3.5740078108797255e-05
quasi_steady,smnd,start_shift_days,-5.0,DM_end,-0.0003546213875569014
quasi_steady,smnd,start_shift_days,-2.0,DM_end,-0.00016096846782863246
quasi_steady,smnd,start_shift_days,0.0,DM_end,0.0
quasi_steady,smnd,start_shift_days,2.0,DM_end,-9.75121272149013e-05
quasi_steady,smnd,start_shift_days,5.0,DM_end,-4.486806278913211e-05
quasi_steady,liebig,start_shift_days,-5.0,DM_end,-0.00021737432940139542
quasi_steady,liebig,start_shift_days,-2.0,DM_end,3.7707329696462e-05
quasi_steady,liebig,start_shift_days,0.0,DM_end,0.0
quasi_steady,liebig,start_shift_days,2.0,DM_end,-7.811844239609919e-05
quasi_steady,liebig,start_shift_days,5.0,DM_end,-3.594438466065995e-05
quasi_steady,multiplicative,start_shift_days,-5.0,DM_end,-0.00024009919496149673
quasi_steady,multiplicative,start_shift_days,-2.0,DM_end,2.1852956976467793e-05
quasi_steady,multiplicative,start_shift_days,0.0,DM_end,0.0
quasi_steady,multiplicative,start_shift_days,2.0,DM_end,-8.360696714170274e-05
quasi_steady,multiplicative,start_shift_days,5.0,DM_end,-3.846968594249932e-05
usable,dynamic,start_shift_days,-5.0,DM_end,-0.003538563399887104
usable,dynamic,start_shift_days,-2.0,DM_end,-0.003899091902536077
usable,dynamic,start_shift_days,0.0,DM_end,0.0
usable,dynamic,start_shift_days,2.0,DM_end,-0.003890010869606289
usable,dynamic,start_shift_days,5.0,DM_end,-0.0037733053326536627
usable,rmnd,start_shift_days,-5.0,DM_end,-0.003846298249750526
usable,rmnd,start_shift_days,-2.0,DM_end,-0.00423606987753728
usable,rmnd,start_shift_days,0.0,DM_end,0.0
usable,rmnd,start_shift_days,2.0,DM_end,-0.0042240103498323855
usable,rmnd,start_shift_days,5.0,DM_end,-0.004095149401245577
usable,smnd,start_shift_days,-5.0,DM_end,-0.004870319054617992
usable,smnd,start_shift_days,-2.0,DM_end,-0.005379161962618924
usable,smnd,start_shift_days,0.0,DM_end,0.0
usable,smnd,start_shift_days,2.0,DM_end,-0.005311550839498509
usable,smnd,start_shift_days,5.0,DM_end,-0.00514100443322449
usable,liebig,start_shift_days,-5.0,DM_end,-0.0038415179718625293
usable,liebig,start_shift_days,-2.0,DM_end,-0.004156174973452206
usable,liebig,start_shift_days,0.0,DM_end,0.0
usable,liebig,start_shift_days,2.0,DM_end,-0.004277912320184915
usable,liebig,start_shift_days,5.0,DM_end,-0.004146193079380379
usable,multiplicative,start_shift_days,-5.0,DM_end,-0.004128858805242326
usable,multiplicative,start_shift_days,-2.0,DM_end,-0.004476247479751475
usable,multiplicative,start_shift_days,0.0,DM_end,0.0
usable,multiplicative,start_shift_days,2.0,DM_end,-0.004584666042398163
usable,multiplicative,start_shift_days,5.0,DM_end,-0.004441309175664467
